mq131,mq136,mq7,no2,gp2y,waktu
584.9037,0.253378,0.509604,3.27,166.3355,2023-02-01 15:14:50.303216
575.0438,0.272094,0.513234,3.23,166.0613,2023-02-01 15:29:50.362937
598.4331,0.237721,0.491734,3.27,165.6226,2023-02-01 15:44:50.427735
593.3072,0.253378,0.495271,3.23,165.6774,2023-02-01 15:59:50.478200
576.6703,0.251372,0.505992,3.21,165.7323,2023-02-01 16:14:50.792701
600.156,0.251372,0.459039,3.11,164.0871,2023-02-01 16:29:50.848552
634.3066,0.214119,0.432737,3.18,164.9645,2023-02-01 16:44:50.976224
607.1196,0.255399,0.464095,3.29,165.2387,2023-02-01 16:59:51.042576
603.6232,0.265722,0.470897,3.23,165.0193,2023-02-01 17:14:51.115519
630.5804,0.261548,0.4795,3.26,164.6355,2023-02-01 17:29:51.180428
639.9568,0.245438,0.46072,3.3,166.8839,2023-02-01 17:44:51.243418
608.8788,0.285253,0.481234,3.3,166.0613,2023-02-01 17:59:51.383619
598.4331,0.31088,0.495271,2.53,162.0581,2023-02-01 18:14:51.463332
894.0731,0.073565,0.25344,2.43,161.071,2023-02-01 18:29:51.596258
919.7878,0.063346,0.229306,2.38,158.7129,2023-02-01 18:44:51.655414
1019.597,0.056501,0.213682,2.39,157.8903,2023-02-01 18:59:51.917825
1023.475,0.05596,0.215728,2.38,158.2193,2023-02-01 19:14:51.987041
1027.376,0.057046,0.211649,2.37,158.6032,2023-02-01 19:29:52.046298
1051.288,0.05596,0.220891,2.4,157.8355,2023-02-01 19:44:52.171631
1031.301,0.059272,0.214704,2.39,158.7129,2023-02-01 19:59:52.241635
1035.249,0.057596,0.221933,2.43,159.3161,2023-02-01 20:14:52.304821
1000.554,0.071548,0.229306,2.47,158.8226,2023-02-01 20:29:52.367448
996.8135,0.074248,0.224024,2.48,158.7129,2023-02-01 20:44:52.640230
1015.743,0.07023,0.23251,2.54,158.8226,2023-02-01 20:59:52.706560
993.0948,0.082128,0.236825,2.49,159.2613,2023-02-01 21:14:52.827841
1015.743,0.074248,0.220891,2.46,158.4387,2023-02-01 21:29:52.970671
1011.911,0.069579,0.218817,2.53,158.7129,2023-02-01 21:44:53.028799
978.437,0.074248,0.234662,2.63,158.6032,2023-02-01 21:59:53.152479
950.1265,0.088302,0.234662,2.57,158.1097,2023-02-01 22:14:53.488439
943.2501,0.078461,0.23251,2.61,158.2193,2023-02-01 22:29:53.667477
